ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
bedapudi6788/deepsegment,ID1,Applied,301,83,57,85.0,4,2261,0.0427565392354124,4.0
benwhetton/keras-surgeon,ID1,Applied,406,135,110,80.0,2,2711,0.0334868145667643,2.0
berkeleyautomation/gqcnn,ID1,Applied,301,162871,150,747.0,8,2829,0.2921392256550645,8.0
berkgulay/weatherpredictionfromimage,ID1,Applied,73,76849,22,111.0,4,2659,0.0467171717171717,4.0
bertinetto/r2d2,ID1,Applied,114,37,18,24.0,1,2439,0.0116845180136319,1.0
bingyaohuang/compennet,ID1,Applied,35,8575,18,21.0,1,2122,0.0120898100172711,1.0
binny-mathew/countering_hate_speech_icwsm2019,ID1,Applied,30,30125,9,66.0,3,2137,0.0451436388508891,3.0
blackeagle01/abnormal_event_detection,ID1,Applied,173,22868,87,24.0,1,2652,0.0100460443700293,1.0
bloodaxe/pytorch-toolbelt,ID1,Applied,1486,3122,118,1196.0,6,2141,0.6378666666666667,6.0
braincreators/octconv,ID1,Applied,17,102,4,41.0,2,2094,0.0239906377998829,2.0
brainiak/brainiak,ID1,Applied,322,11068,135,398.0,30,3272,0.1359289617486339,33.0
bsamseth/tictacnet,ID1,Applied,18,40,25,17.0,1,2303,0.0097869890616004,1.0
cadene/recipe1m.bootstrap.pytorch,ID1,Applied,49,2696,11,39.0,2,2474,0.0191552062868369,2.0
camel-lab/camel_tools,ID1,Applied,378,12122,69,447.0,5,2667,0.1861724281549354,5.0
cenkcorapci/fashion-parser,ID1,Applied,25,6652,5,14.0,1,2082,0.0089171974522292,1.0
chenrocks/fast_abs_rl,ID1,Applied,623,82,187,82.0,1,2433,0.038407494145199,1.0
chihebtrabelsi/deep_complex_networks,ID1,Applied,703,183,279,16.0,4,2799,0.0063166206079747,4.0
chihkuanyeh/representer_point_selection,ID1,Applied,65,7846,16,25.0,1,2432,0.0120481927710843,1.0
chnsh/deep-semantic-code-search,ID1,Applied,64,71760,9,18.0,1,2109,0.0104408352668213,1.0
cjekel/tindetheus,ID1,Applied,85,2626,20,232.0,3,2595,0.1042696629213483,3.0
claudio-unipv/quasi-unsupervised-cc,ID1,Applied,37,18385,9,64.0,1,2158,0.0351648351648351,1.0
cleardusk/3ddfa,ID1,Applied,3560,83387,648,177.0,8,2400,0.0827489481065918,8.0
cloud-cv/visual-chatbot,ID1,Applied,187,1058,57,31.0,7,2836,0.0120388349514563,7.0
clovaai/deep-text-recognition-benchmark,ID1,Applied,3631,3141,1070,148.0,13,2122,0.0795271359484148,13.0
cmhungsteve/ta3n,ID1,Applied,257,1708,41,190.0,2,2067,0.1060267857142857,2.0
codait/deep-histopath,ID1,Applied,199,51892,86,133.0,4,2694,0.0554397665694039,4.0
cognibit/text-normalization-demo,ID1,Applied,59,2970,7,34.0,2,2477,0.0162523900573613,2.0
colasgael/automatic-video-colorization,ID1,Applied,15,253366,4,127.0,2,2297,0.0673382820784729,2.0
cosanlab/nltools,ID1,Applied,120,75257,42,1398.0,9,3672,0.4104521432765707,9.0
cpmpercussion/creative-prediction,ID1,Applied,23,244201,7,313.0,2,2510,0.1455137145513714,2.0
cpmpercussion/robojam,ID1,Applied,12,17071,2,139.0,2,2627,0.0612874779541446,2.0
cryolitez/plants-identification,ID1,Applied,26,18574,4,23.0,2,2556,0.0102954341987466,2.0
cs-chan/deep-plant,ID1,Applied,94,13544,30,198.0,2,2831,0.0770428015564202,2.0
csailvision/gandissect,ID1,Applied,1769,26641,283,35.0,2,2257,0.017641129032258,2.0
cvlab-tohoku/dense-coattention-network,ID1,Applied,101,2233,16,44.0,1,2435,0.0209424083769633,1.0
cyberzhg/keras-bert,ID2,Applied,2422,14467,509,142.0,6,2287,0.0701581027667984,6.0
cyschneck/hydra,ID1,Applied,6,689844,2,268.0,2,2631,0.230438521066208,2.0
dabasajay/image-caption-generator,ID1,Applied,268,2518,82,88.0,1,2358,0.0419647114926084,1.0
dagnyt/hardnet,ID1,Applied,507,124282,101,104.0,3,2796,0.0412044374009508,3.0
damien911224/theworldinsafety,ID1,Applied,39,3417266,15,430.0,5,2690,0.177319587628866,5.0
datarobot/pic2vec,ID1,Applied,31,9413,14,274.0,4,2780,0.1334632245494398,4.0
dbiir/uer-py,ID1,Applied,2915,52936,523,1058.0,30,2115,0.5709660010793308,42.0
deep-fingerprinting/df,ID1,Applied,154,37,52,27.0,1,2352,0.0129186602870813,1.0
deepchem/deepchem,ID1,Applied,5144,564297,1617,10469.0,30,3409,3.3256035578144854,172.0
deepdiy/deepdiy,ID1,Applied,62,4160,16,459.0,2,2107,0.2533112582781457,2.0
deepfakes/faceswap,ID1,Applied,49327,203357,12916,1823.0,30,2592,0.782067782067782,80.0
deeptrial/dl_segmention_template,ID1,Applied,14,26,5,13.0,1,2449,0.0112359550561797,1.0
defacto/defactonlp,ID1,Applied,40,2292285,6,152.0,3,2434,0.0730067243035542,3.0
demfier/multimodal-speech-emotion-recognition,ID1,Applied,380,12522,82,66.0,2,2149,0.0349761526232114,2.0
desklop/voice_chatbot,ID1,Applied,58,379514,17,106.0,1,2292,0.0547803617571059,1.0
districtdatalabs/yellowbrick,ID1,Applied,4204,80715,552,901.0,30,3172,0.3095156303675713,109.0
djosix/performance-rnn-pytorch,ID1,Applied,39,51,10,58.0,1,1443,0.051418439716312,1.0
djpetti/isl-gazecapture,ID1,Applied,14,174537,4,179.0,2,2528,0.0863482875060299,2.0
dlebech/lyrics-generator,ID1,Applied,51,72,13,35.0,2,2409,0.0163934426229508,2.0
dmlc/gluon-nlp,ID1,Applied,2549,11414,535,843.0,30,2486,0.379046762589928,78.0
domainadaptation/salad,ID1,Applied,331,9832,42,39.0,3,2314,0.019108280254777,3.0
driemworks/agatha,ID1,Applied,30,1316,11,34.0,1,2218,0.0199179847685998,1.0
drivendataorg/zamba,ID1,Applied,95,76640,23,250.0,13,2515,0.1109139307897071,13.0
drsleep/light-weight-refinenet,ID1,Applied,726,3650,165,45.0,2,2300,0.0222993062438057,2.0
ducha-aiki/affnet,ID1,Applied,263,64223,47,39.0,2,2624,0.0168393782383419,2.0
duxuhao/feature-selection,ID1,Applied,665,10507,202,98.0,4,2467,0.0444847934634589,4.0
dymaxionlabs/ap-latam,ID1,Applied,34,8902,24,280.0,1,2425,0.1387512388503468,1.0
eellak/gsoc2018-3gm,ID1,Applied,40,145624,9,721.0,6,2467,0.4537444933920704,6.0
ekim-yurtsever/deeptl-lane-change-classification,ID1,Applied,70,110877,17,80.0,2,2288,0.0397416790859413,2.0
eladhoffer/seq2seq.pytorch,ID1,Applied,518,3290,79,213.0,2,2793,0.0847929936305732,2.0
epistimio/orion,ID1,Applied,281,51556,52,4051.0,27,2695,1.6670781893004116,27.0
erotemic/netharn,ID1,Applied,39,3437,9,366.0,1,2490,0.1738717339667458,1.0
esowc/ml_drought,ID1,Applied,87,323678,18,267.0,3,2094,0.1468646864686468,3.0
estnltk/estnltk,ID1,Applied,108,776858,19,5340.0,25,3832,1.504225352112676,25.0
evhart/crees,ID1,Applied,16,520035,6,17.0,1,2726,0.0131172839506172,1.0
experiencor/deep-viz-keras,ID1,Applied,165,2482,31,10.0,1,2771,0.0040617384240454,1.0
experiencor/keras-yolo2,ID1,Applied,1726,55194,788,78.0,9,2864,0.03,9.0
experiencor/keras-yolo3,ID1,Applied,1605,94,861,42.0,3,2482,0.018970189701897,3.0
explosion/prodigy-recipes,ID1,Applied,464,16298,116,209.0,13,2602,0.089430894308943,12.0
fabvio/ld-lsi,ID1,Applied,89,299424,18,29.0,2,2316,0.015650296815974,2.0
facebookresearch/vilbert-multi-task,ID2,Applied,791,119980,181,295.0,5,1886,0.1826625386996904,5.0
felixgwu/img_classification_pk_pytorch,ID1,Applied,361,63,78,71.0,3,2854,0.0274767801857585,3.0
flashtek/show-attend-and-tell-keras,ID1,Applied,26,75,12,12.0,2,2401,0.0082023239917976,2.0
foamliu/car-recognition,ID1,Applied,341,63973,135,86.0,4,2462,0.0395039044556729,4.0
foamliu/deep-image-matting,ID1,Applied,947,146489,263,312.0,4,2474,0.1425308359981726,4.0
foamliu/deep-residual-matting,ID1,Applied,68,252170,21,71.0,1,2407,0.034533073929961,1.0
foamliu/facial-expression-prediction,ID1,Applied,32,6355,10,59.0,2,2472,0.0270518110958276,2.0
foamliu/look-into-person,ID1,Applied,83,34256,22,115.0,2,2438,0.0560155869459327,2.0
foamliu/reading-comprehension,ID1,Applied,21,57,7,62.0,1,2296,0.0452885317750182,1.0
fournierp/alfred,ID1,Applied,35,64904,16,113.0,0,2206,0.0620538165842943,1.0
francescosaveriozuppichini/mirror,ID1,Applied,250,79591,22,153.0,2,2296,0.0774683544303797,2.0
fuzimaoxinan/pytorch-deep-neural-networks,ID1,Applied,118,107661,27,194.0,1,2107,0.1051490514905149,1.0
gabrielspmoreira/chameleon_recsys,ID1,Applied,274,732,79,26.0,1,2314,0.0127889818002951,1.0
galdude33/fetal-mri-segmentation,ID1,Applied,21,24040,11,490.0,3,2363,0.238095238095238,3.0
gantman/nsfw_model,ID1,Applied,1616,495,266,133.0,10,2195,0.0687693898655636,10.0
gautam678/pix2depth,ID1,Applied,353,2379,82,115.0,3,2636,0.0490405117270788,3.0
gentaiscool/lstm-attention,ID1,Applied,106,16905,43,15.0,1,2351,0.0072957198443579,1.0
gilesstrong/lumin,ID1,Applied,47,166271,13,775.0,4,2213,0.4705525197328476,4.0
gmvandeven/continual-learning,ID1,Applied,1458,3289,303,41.0,1,2311,0.0200097608589555,1.0
gongzhitaao/adversarial-text,ID1,Applied,31,3860,7,58.0,0,2577,0.0300051733057423,1.0
google-research/google-research,ID1,Applied,32905,623844,7707,4529.0,30,2303,2.2179236043095005,399.0
google-research/text-to-text-transfer-transformer,ID2,Applied,5914,5561,743,598.0,30,1925,0.359375,57.0
graykode/gpt-2-pytorch,ID1,Applied,939,2444,219,27.0,2,2166,0.0142329994728518,2.0
greenelab/snorkeling,ID1,Applied,58,342324,17,124.0,3,2941,0.0472560975609756,3.0
greenelab/tybalt,ID1,Applied,158,104164,62,185.0,1,2751,0.075111652456354,1.0
gt-ripl/continual-learning-benchmark,ID1,Applied,499,481,90,17.0,1,2246,0.0085815244825845,1.0
ha0tang/selectiongan,ID1,Applied,459,27777,63,394.0,1,2112,0.2136659436008676,1.0
hankcs/hanlp,ID1,Applied,32452,72869,9571,1748.0,30,3759,0.4997141223556318,37.0
haqishen/mfnet-pytorch,ID1,Applied,105,7057,24,15.0,1,2420,0.0070422535211267,1.0
harish2704/pottan-ocr,ID1,Applied,44,6825,12,245.0,3,2596,0.1273388773388773,3.0
harshbg/sign-language-interpreter-using-deep-learning,ID1,Applied,468,13919,196,54.0,4,2117,0.029157667386609,4.0
hazyresearch/snorkel,ID1,Applied,5715,292481,856,2693.0,30,3254,0.9003677699765965,69.0
hbahadirsahin/nlp-experiments-in-pytorch,ID1,Applied,37,254,8,236.0,1,2289,0.1266094420600858,1.0
healthcatalyst/healthcareai-py,ID1,Applied,308,6937,184,929.0,16,3130,0.3340524991010428,16.0
hepesu/linedistiller,ID1,Applied,164,20520,23,15.0,2,2578,0.0064963187527068,2.0
hironsan/anago,ID1,Applied,1478,7689,372,298.0,10,2768,0.119438877755511,10.0
hls-fpga-machine-learning/hls4ml,ID1,Applied,1115,263873,381,1985.0,30,2647,0.8329836340746958,51.0
hms-idac/imageforensics,ID1,Applied,19,225,7,32.0,1,2659,0.0141592920353982,1.0
hoiy/berserker,ID1,Applied,17,178,1,36.0,1,2209,0.028235294117647,1.0
holgerroth/3dunet_abdomen_cascade,ID1,Applied,102,292294,40,12.0,1,2827,0.0047904191616766,1.0
hourout/linora,ID1,Applied,12,3591,4,1174.0,3,2255,0.6153039832285115,3.0
howl-anderson/seq2annotation,ID1,Applied,85,9242,22,413.0,2,2260,0.2138788192646297,2.0
hsm207/bert_attn_viz,ID1,Applied,46,235,12,100.0,17,2196,0.0526315789473684,17.0
huckiyang/eyenet2,ID1,Applied,16,29190,4,29.0,1,2397,0.014271653543307,1.0
huggingface/hmtl,ID1,Applied,1185,1210,146,32.0,6,2276,0.0159680638722554,6.0
huggingface/transfer-learning-conv-ai,ID1,Applied,1715,57,426,37.0,13,2088,0.0202517788724685,13.0
huseinzol05/nlp-models-tensorflow,ID2,Applied,1774,48393,730,275.0,2,2467,0.1247165532879818,2.0
hypox64/deepmosaics,ID1,Applied,1950,4145,409,84.0,3,2151,0.0444444444444444,3.0
hzwer/learningtopaint,ID1,Applied,2229,19119,314,100.0,5,2145,0.0531067445565586,5.0
ialhashim/densedepth,ID1,Applied,1555,12440,357,93.0,10,2218,0.0475946775844421,10.0
ibm/max-resnet-50,ID1,Applied,14,31082,18,59.0,13,2512,0.0348082595870206,13.0
idkiro/cbdnet-pytorch,ID1,Applied,167,7952,28,23.0,1,2071,0.0127142067440574,1.0
ikostrikov/pytorch-flows,ID1,Applied,568,54,78,42.0,7,2336,0.0203488372093023,7.0
ilyagusev/summarus,ID1,Applied,165,496,20,240.0,1,2251,0.1217038539553752,1.0
imatge-upc/retrieval-2017-cam,ID1,Applied,224,19178,60,84.0,2,3230,0.0284649271433412,2.0
imito/odin-ai,ID1,Applied,21,7365,11,1358.0,3,3134,0.4902527075812274,3.0
inuinana/musicgenreclassifiaction,ID1,Applied,9,7283,3,229.0,2,2459,0.1086337760910815,2.0
isaacmg/model_agnostic_prediction,ID1,Applied,8,111697,2,88.0,1,2428,0.0443324937027707,1.0
isht7/pytorch-deeplab-resnet,ID1,Applied,601,646,121,94.0,1,2846,0.0367474589523064,1.0
ite-5th/image-captioning-gan,ID1,Applied,23,25599,6,61.0,2,2480,0.0313786008230452,2.0
ixarea/littlegan,ID1,Applied,10,130,1,159.0,3,2282,0.1872791519434629,3.0
jadore801120/attention-is-all-you-need-pytorch,ID1,Applied,8476,166,1930,196.0,6,2780,0.0778086542278682,6.0
james4388/noahcar,ID1,Applied,29,73866,5,112.0,1,2414,0.0543161978661493,1.0
jason718/game-feature-learning,ID1,Applied,66,27016,16,30.0,2,2426,0.0141043723554301,2.0
jayyip/bert-multitask-learning,ID1,Applied,544,30553,126,535.0,7,2247,0.2774896265560166,7.0
jcreinhold/synthtorch,ID1,Applied,27,1232,7,202.0,1,2273,0.1305753070458953,1.0
jgraving/deepposekit,ID1,Applied,382,3255,91,311.0,6,2090,0.1703176341730558,6.0
jhu-lcsr/costar_plan,ID1,Applied,67,44364,23,6969.0,13,2895,2.75345713156855,13.0
jimmy60504/seisnn,ID1,Applied,62,5408,12,646.0,3,2487,0.2902066486972147,3.0
jimmyyhwu/ddsm-visual-primitives,ID1,Applied,36,75570,11,48.0,1,2489,0.0219880897846999,1.0
jimmyyhwu/pose-interpreter-networks,ID1,Applied,121,16032,29,20.0,1,2395,0.0095374344301382,1.0
jiwoon-ahn/irn,ID1,Applied,514,1323,99,20.0,3,2177,0.0104384133611691,3.0
jiwoon-ahn/psa,ID1,Applied,371,1248,64,11.0,1,2442,0.005043558000917,1.0
jolibrain/fluidnet_cxx,ID1,Applied,50,8186,12,108.0,2,2477,0.0516252390057361,2.0
jtourille/yaset,ID1,Applied,10,546,4,325.0,1,2766,0.1509521597770552,1.0
junyanz/interactive-deep-colorization,ID1,Applied,2672,12125,446,66.0,4,2817,0.0259128386336866,4.0
junyanz/pytorch-cyclegan-and-pix2pix,ID1,Applied,22054,8399,6170,526.0,30,2837,0.2041925465838509,58.0
justachetan/img2latex,ID1,Applied,19,5469,8,27.0,4,2280,0.0164333536214242,4.0
justusschock/shape-constrained-network,ID1,Applied,12,4359,4,28.0,1,2335,0.0174021131137352,1.0
justusschock/shapenet,ID1,Applied,340,149,62,68.0,2,2184,0.0357142857142857,2.0
jymsuper/speakerrecognition_tutorial,ID1,Applied,205,711081,44,85.0,1,2164,0.04471330878485,1.0
kainoj/colnet,ID1,Applied,42,3964,9,104.0,2,2279,0.0546505517603783,2.0
kalviny/msdnet-pytorch,ID1,Applied,184,110,49,36.0,5,2232,0.0183767228177641,5.0
kamatyogesh7/face-recognition-based-attendance-system,ID1,Applied,69,86438,37,43.0,1,2450,0.0204957102001906,1.0
kenmaz/momo_mind,ID1,Applied,31,86364,18,130.0,1,3210,0.0442026521591295,1.0
kenshohara/3d-resnets-pytorch,ID1,Applied,3816,336,930,432.0,5,2688,0.1779975278121137,5.0
khronosgroup/nnef-tools,ID1,Applied,218,2203,57,517.0,12,2592,0.224100563502384,13.0
khurramjaved96/incremental-learning,ID1,Applied,106,2259,24,870.0,3,2555,0.4001839926402943,3.0
kjaisingh/hardhat-detector,ID1,Applied,42,380,18,20.0,1,2530,0.0098814229249011,1.0
kolszewska/quickdrawclassifier,ID1,Applied,6,698,0,20.0,1,2238,0.0117027501462843,1.0
kotritrona/osumapper,ID1,Applied,411,85379,53,206.0,3,2352,0.0985174557627929,3.0
koziev/chatbot,ID1,Applied,260,1821001,64,573.0,2,2561,0.2495644599303136,2.0
krrish94/enet-scannet,ID1,Applied,23,12512,3,19.0,1,2174,0.0100475938656795,1.0
kunci115/sipintar,ID1,Applied,40,26823,8,46.0,2,2638,0.0199826238053866,2.0
kundajelab/chromdragonn,ID1,Applied,44,1327,11,54.0,3,2182,0.0288924558587479,3.0
kupynorest/deblurgan,ID1,Applied,2455,87920,513,71.0,7,2829,0.0276695245518316,7.0
kushagrachauhan/face-recognition,ID1,Applied,7,119985,2,13.0,1,2099,0.0371428571428571,1.0
kwonmha/improving-rnn-recommendation-model,ID1,Applied,53,20958,13,39.0,1,2563,0.0182841068917018,1.0
kymatio/kymatio,ID1,Applied,730,2615,136,754.0,30,2305,0.3688845401174168,31.0
lanpa/tensorboardx,ID1,Applied,7801,5779,863,528.0,30,2781,0.2095238095238095,74.0
lazybootsafe/ai2match,ID1,Applied,33,210197,8,64.0,1,2107,0.0359955005624297,1.0
leemengtaiwan/cat-recognition-train,ID1,Applied,132,49368,39,149.0,2,2668,0.0622389306599832,2.0
leftthomas/cccapsnet,ID1,Applied,52,2469,17,372.0,1,2500,0.171349608475357,1.0
leon-ai/leon,ID1,Applied,14591,13262,1195,1606.0,18,2174,0.8395190799790905,18.0
leoxiaobin/deep-high-resolution-net.pytorch,ID1,Applied,4233,15930,906,56.0,8,2159,0.0295047418335089,8.0
lonepatient/bert-multi-label-text-classification,ID1,Applied,836,191,206,38.0,4,2174,0.0199057097957045,4.0
lonepatient/deep_learning_for_computer_vision_with_python,ID1,Applied,119,118,62,31.0,1,2411,0.0156882591093117,1.0
lopuhin/transformer-lm,ID1,Applied,163,368,49,169.0,3,2139,0.0963511972633979,3.0
lsdefine/attention-is-all-you-need-keras,ID1,Applied,703,1397,192,29.0,3,2505,0.0129637907912382,3.0
lucasxlu/fgvc,ID1,Applied,16,229,8,63.0,1,2334,0.0321428571428571,1.0
lucasxlu/transfbp,ID1,Applied,49,2942,8,29.0,1,2365,0.0138755980861244,1.0
lyxok1/tiny-dsod,ID1,Applied,229,16979,58,12.0,2,2407,0.0056497175141242,2.0
ma-zhiyuan/personalrecommendation,ID1,Applied,6,15027,11,12.0,1,2210,0.0064655172413793,1.0
maciejczyzewski/neural-chessboard,ID1,Applied,273,56229,68,16.0,1,2779,0.0064231232436772,1.0
maelfabien/multimodal-emotion-recognition,ID1,Applied,790,1107555,285,357.0,3,2149,0.1891891891891892,3.0
makcedward/nlpaug,ID1,Applied,4309,3365,456,738.0,30,2135,0.394020288307528,32.0
mapbox/robosat,ID1,Applied,1997,1381,379,148.0,11,2422,0.0688372093023255,11.0
mathiasunberath/deepdrr,ID1,Applied,190,66479,54,663.0,7,2444,0.3051081454210768,7.0
maybeshewill-cv/nsfw-classification-tensorflow,ID1,Applied,77,226830,20,106.0,2,2159,0.0574525745257452,2.0
maybeshewill-cv/crnn_tensorflow,ID2,Applied,1033,570797,390,283.0,8,2677,0.1178184845961698,8.0
mbchang/crl,ID1,Applied,24,1055,5,13.0,1,2162,0.0073157006190208,1.0
mdangschat/ctc-asr,ID1,Applied,119,57773,36,788.0,2,2278,0.4059763008758372,2.0
michalfaber/keras_realtime_multi-person_pose_estimation,ID1,Applied,780,34074,371,40.0,5,2694,0.0165220983064849,5.0
microsoft/airsim,ID1,Applied,15888,376458,4428,3560.0,30,2900,1.3489958317544524,199.0
microsoft/econml,ID1,Applied,3565,45190,679,477.0,30,2460,0.2169167803547066,35.0
microsoft/interpret,ID1,Applied,6009,14427,710,3158.0,30,2092,1.7247405789186236,40.0
microsoft/onnxruntime,ID1,Applied,12811,1255966,2642,11134.0,30,2266,5.553117206982543,382.0
microsoft/tf2-gnn,ID2,Applied,369,277,71,223.0,3,1794,0.1488651535380507,4.0
mila-iqia/babyai,ID1,Applied,669,73698,143,1319.0,19,2305,0.6484759095378564,19.0
millionintegrals/vel,ID1,Applied,274,1619,33,407.0,4,2451,0.1896551724137931,4.0
mipt-oulu/oaprogression,ID1,Applied,73,1336,18,178.0,1,2295,0.0878145041933892,1.0
miroozyx/bert_with_keras,ID1,Applied,33,396,11,71.0,1,2233,0.0372899159663865,1.0
mlflow/mlflow,ID1,Applied,17345,425534,3943,5970.0,30,2424,2.760055478502081,455.0
mohammaduzair9/style-classification,ID1,Applied,23,48885,9,14.0,1,2547,0.0068359375,1.0
mohammed-elkomy/two-stream-action-recognition,ID1,Applied,59,52001,19,48.0,2,2264,0.0254912373871481,2.0
morphl-ai/morphl-community-edition,ID1,Applied,259,146,36,35.0,2,2598,0.0157444894286999,2.0
mozilla/tts,ID1,Applied,8838,125774,1206,2184.0,30,2557,0.951219512195122,43.0
mozilla/fathom,ID2,Applied,1971,24754,75,1529.0,18,3233,0.5174280879864637,18.0
mpkuse/cartwheel_train,ID1,Applied,32,10730,11,75.0,1,2939,0.0320102432778489,1.0
mratsim/amazon-forest-computer-vision,ID1,Applied,366,3286,74,25.0,1,2694,0.0102965403624382,1.0
mravanelli/sincnet,ID1,Applied,1099,82780,258,69.0,5,2389,0.0324705882352941,5.0
mreliptik/handpose,ID1,Applied,232,345074,67,69.0,2,2219,0.0361256544502617,2.0
mseitzer/pytorch-fid,ID1,Applied,3091,112,492,62.0,13,2539,0.0272168568920105,13.0
msmbuilder/osprey,ID1,Applied,72,997,26,703.0,9,3744,0.2084198043284909,9.0
msracver/deep-exemplar-based-colorization,ID1,Applied,493,158312,75,15.0,1,2338,0.007274490785645,1.0
muneebaadil/line-detection-using-cnns,ID1,Applied,73,56296,18,98.0,1,2637,0.0418982471141513,1.0
mvig-sjtu/alphapose,ID1,Applied,7730,121674,1946,190.0,17,2563,0.0825369244135534,17.0
mycroftai/mycroft-precise,ID2,Applied,799,457,228,284.0,12,2707,0.1162505116659844,12.0
n2itn/are-you-fake-news,ID1,Applied,113,32488,29,711.0,4,2660,0.2967445742904841,4.0
namisan/mt-dnn,ID1,Applied,2204,2061,414,582.0,17,2165,0.305672268907563,17.0
